index,name,rating,description
63,Image Drops: 下载并查看网络图像,4.4,显示图像详细信息、应用滤镜并将所选图像保存为 ZIP 存档或在图像查看器中查看它们
64,Image Autosizer,4.2,Customize how images are displayed and controlled within your browser.
65,Photo Mirror - a Webcam Toy,3.7,使用网络摄像头拍照、录制视频、创建 GIF 动画、添加效果和蒙版。
66,Art Institute of Chicago: Art Tab,5.0,"Sneak some inspiration into your day. See a new, random artwork from the museum's vast collection every time you open a new tab."
67,PostSpark - Beautiful Screenshots & Mockups,4.7,Create beautiful screenshots and mockups for social media and marketing needs.
68,Satellite New Tab Page,4.2,Experience the latest image of Earth from a satellite every time you open a new tab.
69,G-Aesthetics,5.0,"Customize your Google search homepage with personalized backgrounds, themes, and animations. Works across all major Google domains."
70,Live Photo Editor Online,5.0,Edit photos from any web page
71,Audio Joiner — Merge DASH Audio Files,5.0,从视频文件中提取音频，然后连接音轨。适合将DASH或M3U8流合并成一个文件。
72,Art New Tabs,4.0,The best art wallpaper images with our extension!
73,EXIF 元数据查看器,4.8,通过快速右键点击，即时查看任何图像的EXIF元数据 - 相机设置、GPS位置、拍摄日期等。非常适合摄影师、安全研究人员和注重隐私的用户。
74,Text to Image (PNG),5.0,Easily convert text to image (.png) with a custom background image.
75,MockoFun Online Graphic Designer,2.3,"Grab any image off the internet and upload it into MockoFun. Then do image editing, add text, poster and flyer design, etc."
76,Pinky Cursor - Cute Aesthetic Cursor for Chrome,5.0,Browse in pink with Pinky cursors. Perfect for fans of pastel vibes & soft aesthetic!
77,Chiikawa Cursor - Kawaii Cursor for Chrome,5.0,Explore Internet with Chiikawa cursors.
78,Gemini AI 图片水印移除工具 - 一键去水印，批量导出ZIP,5.0,移除 Gemini AI 生成图片水印；也可在弹窗中本地处理。
79,ArtTab,5.0,View dynamic digital art every time you open a new tab.
80,Vectorify: Images to SVG,5.0,Vectorify images with one click
81,VibesEQ - Audio Toolkit,5.0,"EQ any audio on the web! Boost bass, treble, and volume."
82,Wallhaven Extender,5.0,Adds download and slideshow links directly onto images on Wallhaven.cc
83,ZapBG,4.8,Remove backgrounds fast & easily
84,Thumbnail Enlarger for Google Drive,3.5,Easier photo and image viewing on Google Drive.
85,Draw any face - Loomis method,3.0,Draw any face easily using loomis method
86,'Photo of the day' Clock,4.5,Simple extension that shows 'Photo of the day' on the 'New Tab' page with a digital clock.
87,Hatsune Miku Chibi Wallpapers,0.0,Hatsune Miku Chibi Chrome New Tab Extension: Bring Adorable Vibes with Every New Tab!
88,My Melody Cursor - Sanrio Bunny Cursor for Chrome,0.0,"Click sweetly with My Melody cursors. Perfect for fans of pink bunnies, Sanrio & kawaii charm!"
89,eBank AI Art Generator,3.7,Create Beautiful AI Art and Search AI Community Art
90,Infinitai Magic Image Editor,4.8,Access the infinite potential of ai and edit your images in seconds. Visit https://www.infinitai.co for more information.
91,Sonic the Hedgehog Cursor ★ Custom Cursor for Chrome™,3.6,"60+ Sonic cursors featuring Sonic, Tails, Knuckles, Shadow & more in action styles!"
92,PicTab: Beautiful Wallpapers for Every Tab,4.3,Displays a beautiful wallpaper and your goals when opening a tab.
93,Museum in a Tab,5.0,"See historic items from science, technology, medicine and art in your browser."
94,VectorDraw - Paint on Tab,4.0,绘制交互式对象（圆形、矩形、多边形）或使用画笔工具在当前标签上书写并捕获结果
95,EziCloner – Clone Elementor Sections,5.0,Advanced webpage cloning tool that converts page elements into editable Elementor widgets.
96,New Tab Landscapes,4.3,Transform your new tab with stunning HD landscape wallpapers from Pexels. Beautiful nature backgrounds on every new tab.
97,AwayTab - Travel Backgrounds,3.9,Discover amazing places to travel to in every new tab you open.
98,SVG Studio - Free SVG Editor,0.0,Extension for Creating and Editing SVG
99,My Little Pony Cursor - Cartoon Cursor for Chrome,5.0,Trot through pages with My Little Pony cursors. Perfect for fans of Twilight Sparkle & magic adventures!
100,1-Click Prompt Generator,4.9,Professional cinematic prompt generator for AI models
101,Sweezy ★ New Tab ★ Wallpapers,5.0,Replace your new tab page with beautiful wallpapers from Sweezy.
102,Murder Drones Cursor - Sci-Fi Horror Cursor for Chrome,5.0,"Hunt online with Murder Drones cursors. Perfect for fans of Uzi, worker drones & dystopian robot horror!"
103,EFFECT.APP,5.0,Edit images from any site in Effect.app with one click — 35+ effects
104,PUBG Battlegrounds,0.0,Enter the battlegrounds every time you browse! Download now for stunning PUBG live wallpapers and a battle-ready new tab experience.
105,Gail Shimeji,1.0,Reveals the identity of Invisible Guardian (Gail) when viewing the NFT details on Opensea
106,Preppy Cursor - Aesthetic Cursor for Chrome,0.0,"Click with class using Preppy cursors. Perfect for fans of clean vibes, style & aesthetics!"
107,Pikmin Cursor - Game Cursor for Chrome,4.0,Browse online with Pikmin cursors. Perfect for fans of Olimar & puzzle adventures!
108,Abstract AI | Art Generator,5.0,Generate stunning AI-powered abstract art with customizable options.
109,Yelan Genshin Impact Gameograf,5.0,"Step into the mysterious allure of Yelan, the enigmatic Hydro adventurer from Genshin Impact, with this captivating live wallpaper"
110,Download Images from Any Webpage – Magic Image Picker (MIP),5.0,Click-select with Magic Wand or scan all. Includes CSS background images. Export to ZIP with optional size-based filenames.
111,Facebook Color Themes & Background and Font Color Changer,2.3,Customize your Facebook experience with personalized Background & Font color themes!
112,joliscreen,4.0,Stunning artwork background images.
113,Security Multi Tools,0.0,"Free tools to help keep your information safe, always free for the community"
114,Best Nano Banana Prompt,5.0,"Discover, create & share AI image prompts. Browse community prompts, extract prompts from images, and submit your own creations."
115,pinly,5.0,The extension to keep references all in one place.
116,AviaMagazine Chrome Extension,0.0,Replaces a new tab with AviaMagazine's current calendar wallpaper. Select your aviation interest and see the latest site additions.
117,Browser FX,5.0,Chrome extension that applies real-time audio effects to browser tabs
118,CodeHS Blackout,5.0,Blacks out CodeHS's website
119,HuntSplash: Beautiful Photos & Top Products,5.0,See beautiful photos along with top trending products on every new tab you open in Google Chrome.
120,YouTube Redesigned: Inspired by Juxtopposed,4.8,"Reimagines YouTube's layout with a cleaner, more user-friendly design, inspired by the Juxtopposed video."
121,Skimmet - Squint Testing Tool for Designers,5.0,Skimmet is a UX tool to evaluate skimmer friendliness of your website.
122,AI Image & Video Editor - All-in-one AI Design Sidebar,4.8,"AI image & video generator: NanoBanana,GPT-4o,Veo3,Sora2,more... Instantly create stunning visuals and animations in smart sidebar"
123,UX Quotes: Quotes on User Experience Design,4.0,Get inspired by beautiful minimal wallpapers and quotes on User Experience Design every time you open a new tab.
124,Elegant cursor,4.5,Transform your cursor for website presentations with a clearer visual journey.
125,San-X Cursor - Kawaii Character Cursor for Chrome,0.0,"Browse cutely with San-X cursors. Perfect for fans of Rilakkuma, Sumikko Gurashi & Japanese kawaii mascots!"
126,Korean Reactions Cursor - Meme Culture Cursor for Chrome,0.0,"React online with Korean Reactions cursors. Perfect for fans of K-memes, expressive icons & viral reaction images!"
127,Molang Cursor - Kawaii Cursor for Chrome,0.0,Hop online with Molang cursors. Perfect for fans of Piu Piu & fluffy bunnies !
128,Chromanga - AI Manga Colorizer,5.0,"Transforming manga, one panel at a time. Click. Colorize. Read."
